foodId,label,category,foodContentsLabel,image
6111250476683,,"en:beverages-and-beverages-preparations, en:beverages, en:alcoholic-beverages, en:wines, en:sparkling-wines, en:champagnes",,https://images.openfoodfacts.org/images/products/611/125/047/6683/front_fr.14.400.jpg
3039820510250,Vivien Paille Lentilles vertes le paquet de 500 g,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:legumes-and-their-products, en:legumes, en:seeds, en:vegetables-based-foods, en:legume-seeds, en:pulses, en:lentils, en:green-lentils",Lentilles vertes.,https://images.openfoodfacts.org/images/products/303/982/051/0250/front_fr.68.400.jpg
3292070010264,"Betteraves de Champagne & chèvre crémeux, pointe de framboise","en:spreads, en:salted-spreads","Pois chiches 44% - purée de betterave rouge 37% - huile de colza - purée de framboise 3% - eau - fromage de chèvre (contient lait) 2% - concentré de jus de citron - sel - graines de sésame dorées - graines de nigelle - ail en poudre - conservateur: E202.

Traces éventuelles de céréales contenant du gluten, crustacés, œufs, poissons, mollusques.",https://images.openfoodfacts.org/images/products/329/207/001/0264/front_fr.64.400.jpg
3113934004147,Canard Duchêne,"en:beverages, en:alcoholic-beverages, en:wines, en:sparkling-wines, en:champagnes, fr:liquide",Pinots et de Chardonnay,https://images.openfoodfacts.org/images/products/311/393/400/4147/front_fr.4.400.jpg
4820097815556,Splashes of champagne,N/A,N/A,https://images.openfoodfacts.org/images/products/482/009/781/5556/front_it.3.400.jpg
4056489843696,Rillettes de homard au cognac,fr:rillettes-de-homard-au-cognac-et-champagne,"Chair de homard américain 49%, huile de colza, colin d'Alaska, eau, double concentré de tomates, Champagne (contient sulfites), moutarde de Dijon (eau, graines de moutarde, vinaigre d'alcool, sel), fibre de blé, jaune d'œuf en poudre, farine de blé, sel, Cognac 0,5%, poivre blanc.",https://images.openfoodfacts.org/images/products/405/648/984/3696/front_fr.3.400.jpg
3760091726964,Lentilles roses bio,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:legumes-and-their-products, en:legumes, en:seeds, en:legume-seeds, en:pulses, en:lentils, fr:lentilles-rosees-de-champagne",Lentilles,https://images.openfoodfacts.org/images/products/376/009/172/6964/front_fr.34.400.jpg
3258431220000,,"en:beverages, en:alcoholic-beverages, en:wines, en:sparkling-wines, en:champagnes, fr:champagnes-bruts",Champagne,https://images.openfoodfacts.org/images/products/325/843/122/0000/front_en.4.400.jpg
3114080034057,Champagne rosé,"en:beverages, en:alcoholic-beverages, en:wines, en:sparkling-wines, en:champagnes",,https://images.openfoodfacts.org/images/products/311/408/003/4057/front_es.3.400.jpg
3185370729960,Champagne Impérial Brut,"en:beverages-and-beverages-preparations, en:beverages, en:alcoholic-beverages, en:wines, en:sparkling-wines, en:champagnes",,https://images.openfoodfacts.org/images/products/318/537/072/9960/front_de.3.400.jpg
